customer_id,signup_date,plan_name,billing_cycle,industry,country,acquisition_channel,company_size,monthly_price,annual_price,contract_value,is_churned,churn_date,tenure_months,usage_score,support_tickets,cancel_reason
CUST0001,2023-02-18,Professional,Annual,EdTech,Australia,Paid Ads,51-200,79,758,758,1,2023-06-18,4,26,4,Budget cuts
CUST0002,2023-01-18,Business,Annual,EdTech,UK,Direct,51-200,149,1430,1430,1,2024-01-13,12,60,2,Too expensive
CUST0003,2022-03-26,Enterprise,Monthly,HealthTech,Brazil,Referral,11-50,299,2870,299,0,,24,76,0,
CUST0004,2023-04-19,Professional,Monthly,HR Tech,USA,Referral,1-10,79,758,79,0,,11,67,1,
CUST0005,2023-03-29,Professional,Annual,E-Commerce,USA,Organic Search,1-10,79,758,758,0,,12,69,3,
CUST0006,2022-03-30,Starter,Annual,Media,Nigeria,Paid Ads,11-50,29,278,278,1,2023-05-24,14,27,7,Missing features
CUST0007,2022-12-29,Enterprise,Monthly,FinTech,UK,Social Media,201-500,299,2870,299,0,,15,66,3,
CUST0008,2022-05-08,Starter,Monthly,E-Commerce,UK,Direct,1-10,29,278,29,1,2023-10-30,18,13,6,Budget cuts
CUST0009,2023-05-27,Business,Annual,HealthTech,Nigeria,Paid Ads,51-200,149,1430,1430,0,,10,93,2,
CUST0010,2022-08-10,Professional,Monthly,Media,India,Direct,201-500,79,758,79,0,,19,68,1,
CUST0011,2022-02-08,Enterprise,Annual,Media,Brazil,Paid Ads,11-50,299,2870,2870,0,,26,60,2,
CUST0012,2022-08-12,Business,Annual,EdTech,India,Referral,11-50,149,1430,1430,0,,19,57,3,
CUST0013,2023-03-08,Enterprise,Monthly,SaaS,Nigeria,Direct,11-50,299,2870,299,0,,12,65,3,
CUST0014,2023-09-18,Starter,Monthly,HR Tech,Australia,Direct,11-50,29,278,29,1,2023-10-18,1,61,6,Usability issues
CUST0015,2022-10-30,Enterprise,Monthly,E-Commerce,Germany,Social Media,11-50,299,2870,299,0,,17,63,2,
CUST0016,2023-02-14,Starter,Monthly,EdTech,USA,Partner,11-50,29,278,29,0,,13,53,1,
CUST0017,2023-06-08,Business,Monthly,EdTech,Germany,Social Media,201-500,149,1430,149,0,,9,48,2,
CUST0018,2022-07-25,Business,Annual,SaaS,Canada,Partner,1-10,149,1430,1430,1,2023-08-19,13,25,5,Too expensive
CUST0019,2022-04-13,Enterprise,Annual,Media,UK,Referral,11-50,299,2870,2870,1,2023-05-08,13,41,5,Too expensive
CUST0020,2023-04-20,Professional,Annual,Media,UK,Direct,51-200,79,758,758,0,,11,64,3,
CUST0021,2022-06-23,Enterprise,Monthly,HR Tech,USA,Organic Search,11-50,299,2870,299,0,,21,55,2,
CUST0022,2022-01-13,Professional,Monthly,E-Commerce,UK,Partner,201-500,79,758,79,0,,26,86,0,
CUST0023,2022-12-17,Professional,Annual,SaaS,UK,Direct,1-10,79,758,758,0,,15,68,3,
CUST0024,2022-06-25,Starter,Annual,HealthTech,Australia,Partner,1-10,29,278,278,1,2023-06-20,12,41,3,Too expensive
CUST0025,2022-03-30,Starter,Monthly,Media,UK,Referral,201-500,29,278,29,0,,24,49,1,
CUST0026,2022-12-15,Business,Annual,Media,Australia,Referral,1-10,149,1430,1430,1,2024-02-08,14,17,1,Too expensive
CUST0027,2022-04-10,Business,Annual,HR Tech,Canada,Paid Ads,201-500,149,1430,1430,0,,24,69,2,
CUST0028,2023-08-27,Starter,Monthly,SaaS,UK,Paid Ads,500+,29,278,29,0,,7,53,2,
CUST0029,2022-10-25,Starter,Monthly,HealthTech,USA,Referral,1-10,29,278,29,0,,17,78,0,
CUST0030,2023-01-21,Business,Annual,E-Commerce,USA,Referral,51-200,149,1430,1430,1,2024-01-16,12,16,1,Too expensive
CUST0031,2022-09-24,Starter,Annual,Media,USA,Partner,500+,29,278,278,0,,18,90,2,
CUST0032,2022-03-04,Enterprise,Monthly,Media,UK,Organic Search,500+,299,2870,299,1,2023-03-29,13,58,8,Too expensive
CUST0033,2022-06-19,Professional,Monthly,E-Commerce,Brazil,Partner,1-10,79,758,79,0,,21,68,1,
CUST0034,2022-04-13,Professional,Monthly,E-Commerce,UK,Direct,51-200,79,758,79,1,2023-01-08,9,51,3,Usability issues
CUST0035,2023-06-13,Business,Monthly,HealthTech,Australia,Paid Ads,11-50,149,1430,149,0,,9,51,0,
CUST0036,2022-09-05,Starter,Annual,Logistics,Brazil,Paid Ads,1-10,29,278,278,1,2023-10-30,14,75,0,Switched to competitor
CUST0037,2023-03-24,Starter,Monthly,FinTech,Germany,Paid Ads,11-50,29,278,29,0,,12,66,2,
CUST0038,2022-07-20,Business,Monthly,Logistics,India,Paid Ads,51-200,149,1430,149,0,,20,85,1,
CUST0039,2023-04-09,Starter,Annual,Logistics,Australia,Paid Ads,51-200,29,278,278,0,,11,57,2,
CUST0040,2023-01-20,Starter,Monthly,HealthTech,USA,Organic Search,1-10,29,278,29,1,2023-11-16,10,42,5,Budget cuts
CUST0041,2022-03-14,Professional,Monthly,Media,Canada,Social Media,201-500,79,758,79,0,,24,49,3,
CUST0042,2023-07-27,Enterprise,Monthly,Logistics,Canada,Referral,11-50,299,2870,299,1,2023-08-26,1,33,4,Switched to competitor
CUST0043,2022-11-30,Professional,Monthly,SaaS,Australia,Paid Ads,11-50,79,758,79,0,,16,89,0,
CUST0044,2023-01-28,Starter,Monthly,HR Tech,Brazil,Direct,51-200,29,278,29,0,,14,69,1,
CUST0045,2023-09-12,Business,Annual,HealthTech,Germany,Direct,51-200,149,1430,1430,0,2024-03-31,13,49,0,
CUST0046,2023-07-31,Starter,Monthly,Media,Australia,Direct,201-500,29,278,29,0,,8,54,0,
CUST0047,2022-01-21,Starter,Monthly,EdTech,Canada,Organic Search,500+,29,278,29,0,,26,73,1,
CUST0048,2022-10-21,Enterprise,Annual,HealthTech,Germany,Paid Ads,51-200,299,2870,2870,0,,17,60,0,
CUST0049,2022-03-21,Starter,Monthly,SaaS,UK,Referral,51-200,29,278,29,1,2022-06-19,3,32,5,Poor support
CUST0050,2023-05-11,Starter,Annual,SaaS,Brazil,Referral,11-50,29,278,278,0,,10,80,3,
CUST0051,2022-10-18,Starter,Monthly,E-Commerce,Australia,Partner,11-50,29,278,29,0,,17,69,1,
CUST0052,2023-08-10,Starter,Annual,Media,Canada,Organic Search,11-50,29,278,278,1,2023-09-09,1,47,2,Switched to competitor
