event_id,customer_id,event_date,event_month,event_type,mrr,plan_name
EVT000001,CUST0001,2023-02-18,2023-02,New,79,Professional
EVT000002,CUST0001,2023-03-20,2023-03,Recurring,79,Professional
EVT000003,CUST0001,2023-04-19,2023-04,Recurring,79,Professional
EVT000004,CUST0001,2023-05-19,2023-05,Recurring,79,Professional
EVT000005,CUST0001,2023-06-18,2023-06,Recurring,79,Professional
EVT000006,CUST0002,2023-01-18,2023-01,New,149,Business
EVT000007,CUST0002,2023-02-17,2023-02,Recurring,149,Business
EVT000008,CUST0002,2023-03-19,2023-03,Recurring,149,Business
EVT000009,CUST0002,2023-04-18,2023-04,Recurring,149,Business
EVT000010,CUST0002,2023-05-18,2023-05,Recurring,149,Business
EVT000011,CUST0002,2023-06-17,2023-06,Recurring,149,Business
EVT000012,CUST0002,2023-07-17,2023-07,Recurring,149,Business
EVT000013,CUST0002,2023-08-16,2023-08,Recurring,149,Business
EVT000014,CUST0002,2023-09-15,2023-09,Recurring,149,Business
EVT000015,CUST0002,2023-10-15,2023-10,Recurring,149,Business
EVT000016,CUST0002,2023-11-14,2023-11,Recurring,149,Business
EVT000017,CUST0002,2023-12-14,2023-12,Recurring,149,Business
EVT000018,CUST0002,2024-01-13,2024-01,Recurring,149,Business
EVT000019,CUST0003,2022-03-26,2022-03,New,299,Enterprise
EVT000020,CUST0003,2022-04-25,2022-04,Recurring,299,Enterprise
EVT000021,CUST0003,2022-05-25,2022-05,Recurring,299,Enterprise
EVT000022,CUST0003,2022-06-24,2022-06,Recurring,299,Enterprise
EVT000023,CUST0003,2022-07-24,2022-07,Recurring,299,Enterprise
EVT000024,CUST0003,2022-08-23,2022-08,Recurring,299,Enterprise
EVT000025,CUST0003,2022-09-22,2022-09,Recurring,299,Enterprise
EVT000026,CUST0003,2022-10-22,2022-10,Recurring,299,Enterprise
EVT000027,CUST0003,2022-11-21,2022-11,Recurring,299,Enterprise
EVT000028,CUST0003,2022-12-21,2022-12,Recurring,299,Enterprise
EVT000029,CUST0003,2023-01-20,2023-01,Recurring,299,Enterprise
EVT000030,CUST0003,2023-02-19,2023-02,Recurring,299,Enterprise
EVT000031,CUST0003,2023-03-21,2023-03,Recurring,299,Enterprise
EVT000032,CUST0003,2023-04-20,2023-04,Recurring,299,Enterprise
EVT000033,CUST0003,2023-05-20,2023-05,Recurring,299,Enterprise
EVT000034,CUST0003,2023-06-19,2023-06,Recurring,299,Enterprise
EVT000035,CUST0003,2023-07-19,2023-07,Recurring,299,Enterprise
EVT000036,CUST0003,2023-08-18,2023-08,Recurring,299,Enterprise
EVT000037,CUST0003,2023-09-17,2023-09,Recurring,299,Enterprise
EVT000038,CUST0003,2023-10-17,2023-10,Recurring,299,Enterprise
EVT000039,CUST0003,2023-11-16,2023-11,Recurring,299,Enterprise
EVT000040,CUST0003,2023-12-16,2023-12,Recurring,299,Enterprise
EVT000041,CUST0003,2024-01-15,2024-01,Recurring,299,Enterprise
EVT000042,CUST0003,2024-02-14,2024-02,Recurring,299,Enterprise
EVT000043,CUST0003,2024-03-15,2024-03,Recurring,299,Enterprise
EVT000044,CUST0004,2023-04-19,2023-04,New,79,Professional
EVT000045,CUST0004,2023-05-19,2023-05,Recurring,79,Professional
EVT000046,CUST0004,2023-06-18,2023-06,Recurring,79,Professional
EVT000047,CUST0004,2023-07-18,2023-07,Recurring,79,Professional
EVT000048,CUST0004,2023-08-17,2023-08,Recurring,79,Professional
EVT000049,CUST0004,2023-09-16,2023-09,Recurring,79,Professional
EVT000050,CUST0004,2023-10-16,2023-10,Recurring,79,Professional
EVT000051,CUST0004,2023-11-15,2023-11,Recurring,79,Professional
EVT000052,CUST0004,2023-12-15,2023-12,Recurring,79,Professional
EVT000053,CUST0004,2024-01-14,2024-01,Recurring,79,Professional
EVT000054,CUST0004,2024-02-13,2024-02,Recurring,79,Professional
EVT000055,CUST0004,2024-03-14,2024-03,Recurring,79,Professional
EVT000056,CUST0005,2023-03-29,2023-03,New,79,Professional
EVT000057,CUST0005,2023-04-28,2023-04,Recurring,79,Professional
EVT000058,CUST0005,2023-05-28,2023-05,Recurring,79,Professional
EVT000059,CUST0005,2023-06-27,2023-06,Recurring,79,Professional
EVT000060,CUST0005,2023-07-27,2023-07,Recurring,79,Professional
EVT000061,CUST0005,2023-08-26,2023-08,Recurring,79,Professional
EVT000062,CUST0005,2023-09-25,2023-09,Recurring,79,Professional
EVT000063,CUST0005,2023-10-25,2023-10,Recurring,79,Professional
EVT000064,CUST0005,2023-11-24,2023-11,Recurring,79,Professional
EVT000065,CUST0005,2023-12-24,2023-12,Recurring,79,Professional
EVT000066,CUST0005,2024-01-23,2024-01,Recurring,79,Professional
EVT000067,CUST0005,2024-02-22,2024-02,Recurring,79,Professional
EVT000068,CUST0005,2024-03-23,2024-03,Recurring,79,Professional
EVT000069,CUST0006,2022-03-30,2022-03,New,29,Starter
EVT000070,CUST0006,2022-04-29,2022-04,Recurring,29,Starter
EVT000071,CUST0006,2022-05-29,2022-05,Recurring,29,Starter
EVT000072,CUST0006,2022-06-28,2022-06,Recurring,29,Starter
EVT000073,CUST0006,2022-07-28,2022-07,Recurring,29,Starter
EVT000074,CUST0006,2022-08-27,2022-08,Recurring,29,Starter
EVT000075,CUST0006,2022-09-26,2022-09,Recurring,29,Starter
EVT000076,CUST0006,2022-10-26,2022-10,Recurring,29,Starter
EVT000077,CUST0006,2022-11-25,2022-11,Recurring,29,Starter
EVT000078,CUST0006,2022-12-25,2022-12,Recurring,29,Starter
EVT000079,CUST0006,2023-01-24,2023-01,Recurring,29,Starter
EVT000080,CUST0006,2023-02-23,2023-02,Recurring,29,Starter
EVT000081,CUST0006,2023-03-25,2023-03,Recurring,29,Starter
EVT000082,CUST0006,2023-04-24,2023-04,Recurring,29,Starter
EVT000083,CUST0006,2023-05-24,2023-05,Recurring,29,Starter
EVT000084,CUST0007,2022-12-29,2022-12,New,299,Enterprise
EVT000085,CUST0007,2023-01-28,2023-01,Recurring,299,Enterprise
EVT000086,CUST0007,2023-02-27,2023-02,Recurring,299,Enterprise
EVT000087,CUST0007,2023-03-29,2023-03,Recurring,299,Enterprise
EVT000088,CUST0007,2023-04-28,2023-04,Recurring,299,Enterprise
EVT000089,CUST0007,2023-05-28,2023-05,Recurring,299,Enterprise
EVT000090,CUST0007,2023-06-27,2023-06,Recurring,299,Enterprise
EVT000091,CUST0007,2023-07-27,2023-07,Recurring,299,Enterprise
EVT000092,CUST0007,2023-08-26,2023-08,Recurring,299,Enterprise
EVT000093,CUST0007,2023-09-25,2023-09,Recurring,299,Enterprise
EVT000094,CUST0007,2023-10-25,2023-10,Recurring,299,Enterprise
EVT000095,CUST0007,2023-11-24,2023-11,Recurring,299,Enterprise
EVT000096,CUST0007,2023-12-24,2023-12,Recurring,299,Enterprise
EVT000097,CUST0007,2024-01-23,2024-01,Recurring,299,Enterprise
EVT000098,CUST0007,2024-02-22,2024-02,Recurring,299,Enterprise
EVT000099,CUST0007,2024-03-23,2024-03,Recurring,299,Enterprise
EVT000100,CUST0008,2022-05-08,2022-05,New,29,Starter
EVT000101,CUST0008,2022-06-07,2022-06,Recurring,29,Starter
EVT000102,CUST0008,2022-07-07,2022-07,Recurring,29,Starter
EVT000103,CUST0008,2022-08-06,2022-08,Recurring,29,Starter
EVT000104,CUST0008,2022-09-05,2022-09,Recurring,29,Starter
EVT000105,CUST0008,2022-10-05,2022-10,Recurring,29,Starter
EVT000106,CUST0008,2022-11-04,2022-11,Recurring,29,Starter
EVT000107,CUST0008,2022-12-04,2022-12,Recurring,29,Starter
EVT000108,CUST0008,2023-01-03,2023-01,Recurring,29,Starter
EVT000109,CUST0008,2023-02-02,2023-02,Recurring,29,Starter
EVT000110,CUST0008,2023-03-04,2023-03,Recurring,29,Starter
EVT000111,CUST0008,2023-04-03,2023-04,Recurring,29,Starter
EVT000112,CUST0008,2023-05-03,2023-05,Recurring,29,Starter
EVT000113,CUST0008,2023-06-02,2023-06,Recurring,29,Starter
EVT000114,CUST0008,2023-07-02,2023-07,Recurring,29,Starter
EVT000115,CUST0008,2023-08-01,2023-08,Recurring,29,Starter
EVT000116,CUST0008,2023-08-31,2023-08,Recurring,29,Starter
EVT000117,CUST0008,2023-09-30,2023-09,Recurring,29,Starter
EVT000118,CUST0008,2023-10-30,2023-10,Recurring,29,Starter
EVT000119,CUST0009,2023-05-27,2023-05,New,149,Business
EVT000120,CUST0009,2023-06-26,2023-06,Recurring,149,Business
EVT000121,CUST0009,2023-07-26,2023-07,Recurring,149,Business
EVT000122,CUST0009,2023-08-25,2023-08,Recurring,149,Business
EVT000123,CUST0009,2023-09-24,2023-09,Recurring,149,Business
EVT000124,CUST0009,2023-10-24,2023-10,Recurring,149,Business
EVT000125,CUST0009,2023-11-23,2023-11,Recurring,149,Business
EVT000126,CUST0009,2023-12-23,2023-12,Recurring,149,Business
