ticket_id,customer_id,ticket_date,category,resolved,days_to_resolve
TKT00001,CUST0001,2023-03-08,Feature Request,0,
TKT00002,CUST0001,2023-06-08,Bug Report,1,6
TKT00003,CUST0001,2023-04-06,Technical,1,11
TKT00004,CUST0001,2023-06-08,Billing,1,8
TKT00005,CUST0002,2024-02-19,Feature Request,1,11
TKT00006,CUST0002,2024-03-13,Onboarding,1,10
TKT00007,CUST0004,2023-04-19,Technical,1,11
TKT00008,CUST0005,2023-07-24,Feature Request,1,8
TKT00009,CUST0005,2023-10-31,Feature Request,1,4
TKT00010,CUST0005,2024-02-16,Feature Request,1,1
TKT00011,CUST0006,2023-05-10,Billing,0,
TKT00012,CUST0006,2022-12-04,Technical,0,
TKT00013,CUST0006,2022-12-07,Billing,1,13
TKT00014,CUST0006,2022-12-23,Bug Report,0,
TKT00015,CUST0006,2022-06-26,Feature Request,1,5
TKT00016,CUST0006,2022-12-08,Onboarding,1,3
TKT00017,CUST0006,2022-04-03,Technical,1,4
TKT00018,CUST0007,2023-07-14,Feature Request,1,3
TKT00019,CUST0007,2023-12-04,Feature Request,0,
TKT00020,CUST0007,2024-03-30,Feature Request,1,5
TKT00021,CUST0008,2023-05-22,Technical,0,
TKT00022,CUST0008,2022-06-24,Billing,0,
TKT00023,CUST0008,2023-02-20,Onboarding,0,
TKT00024,CUST0008,2022-06-09,Billing,0,
TKT00025,CUST0008,2022-11-10,Onboarding,1,9
TKT00026,CUST0008,2023-06-10,Technical,1,9
TKT00027,CUST0009,2024-02-08,Bug Report,1,2
TKT00028,CUST0009,2023-12-24,Billing,1,10
TKT00029,CUST0010,2023-06-15,Technical,1,1
TKT00030,CUST0011,2022-12-22,Onboarding,0,
TKT00031,CUST0011,2022-05-24,Feature Request,1,5
TKT00032,CUST0012,2023-08-03,Bug Report,0,
TKT00033,CUST0012,2023-02-03,Feature Request,1,8
TKT00034,CUST0012,2023-04-10,Billing,0,
TKT00035,CUST0013,2023-12-11,Onboarding,1,2
TKT00036,CUST0013,2023-09-13,Billing,1,3
TKT00037,CUST0013,2023-05-04,Technical,1,3
TKT00038,CUST0014,2023-09-28,Bug Report,1,1
TKT00039,CUST0014,2023-10-15,Onboarding,1,1
TKT00040,CUST0014,2023-10-06,Technical,1,2
TKT00041,CUST0014,2023-09-30,Bug Report,1,4
TKT00042,CUST0014,2023-09-28,Billing,1,12
TKT00043,CUST0014,2023-10-04,Onboarding,1,7
TKT00044,CUST0015,2023-05-20,Feature Request,0,
TKT00045,CUST0015,2022-11-20,Onboarding,1,3
TKT00046,CUST0016,2023-03-18,Onboarding,1,10
TKT00047,CUST0017,2023-10-24,Onboarding,1,4
TKT00048,CUST0017,2024-02-05,Bug Report,1,9
TKT00049,CUST0018,2023-06-26,Technical,1,7
TKT00050,CUST0018,2023-02-28,Onboarding,1,7
TKT00051,CUST0018,2023-08-07,Bug Report,1,11
TKT00052,CUST0018,2023-07-03,Feature Request,0,
TKT00053,CUST0018,2023-06-28,Bug Report,1,13
TKT00054,CUST0019,2022-04-26,Feature Request,1,3
TKT00055,CUST0019,2022-12-29,Billing,1,14
TKT00056,CUST0019,2022-09-07,Onboarding,1,2
TKT00057,CUST0019,2023-01-28,Billing,0,
TKT00058,CUST0019,2022-05-01,Feature Request,1,2
TKT00059,CUST0020,2023-05-23,Feature Request,0,
TKT00060,CUST0020,2023-11-04,Technical,1,14
TKT00061,CUST0020,2023-10-17,Onboarding,1,14
TKT00062,CUST0021,2022-07-07,Bug Report,0,
TKT00063,CUST0021,2023-03-02,Feature Request,1,3
TKT00064,CUST0023,2024-03-19,Billing,1,6
TKT00065,CUST0023,2023-05-19,Bug Report,1,12
TKT00066,CUST0023,2023-03-06,Feature Request,1,10
TKT00067,CUST0024,2022-09-23,Billing,1,3
TKT00068,CUST0024,2023-02-22,Billing,0,
TKT00069,CUST0024,2022-11-29,Feature Request,1,6
TKT00070,CUST0025,2023-08-01,Bug Report,1,7
TKT00071,CUST0026,2023-11-12,Onboarding,1,10
TKT00072,CUST0027,2022-04-21,Onboarding,1,2
TKT00073,CUST0027,2022-06-13,Bug Report,1,13
TKT00074,CUST0028,2023-12-01,Billing,1,5
TKT00075,CUST0028,2024-01-31,Bug Report,1,10
TKT00076,CUST0030,2023-05-25,Technical,0,
TKT00077,CUST0031,2023-03-22,Billing,1,3
TKT00078,CUST0031,2024-03-26,Onboarding,1,4
TKT00079,CUST0032,2022-07-03,Billing,0,
TKT00080,CUST0032,2022-08-02,Onboarding,1,7
TKT00081,CUST0032,2022-11-01,Feature Request,1,14
TKT00082,CUST0032,2022-10-20,Onboarding,0,
TKT00083,CUST0032,2022-05-06,Bug Report,1,1
TKT00084,CUST0032,2022-08-01,Billing,1,3
TKT00085,CUST0032,2022-07-27,Billing,0,
TKT00086,CUST0032,2023-03-16,Billing,1,6
TKT00087,CUST0033,2023-03-24,Onboarding,1,4
TKT00088,CUST0034,2022-08-07,Feature Request,1,5
TKT00089,CUST0034,2022-12-09,Billing,1,2
TKT00090,CUST0034,2022-10-26,Technical,1,11
TKT00091,CUST0037,2024-01-12,Bug Report,1,11
TKT00092,CUST0037,2023-12-26,Feature Request,1,6
TKT00093,CUST0038,2022-10-20,Feature Request,1,5
TKT00094,CUST0039,2024-03-16,Billing,1,12
TKT00095,CUST0039,2023-12-30,Onboarding,1,3
TKT00096,CUST0040,2023-10-20,Onboarding,1,5
TKT00097,CUST0040,2023-04-04,Feature Request,1,4
TKT00098,CUST0040,2023-02-09,Feature Request,1,10
TKT00099,CUST0040,2023-09-07,Billing,0,
TKT00100,CUST0040,2023-04-28,Bug Report,1,1
TKT00101,CUST0041,2024-02-24,Technical,0,
TKT00102,CUST0041,2023-01-28,Onboarding,0,
TKT00103,CUST0041,2023-03-27,Feature Request,1,8
TKT00104,CUST0042,2023-08-01,Billing,1,13
TKT00105,CUST0042,2023-08-02,Bug Report,1,13
TKT00106,CUST0042,2023-08-17,Onboarding,0,
TKT00107,CUST0042,2023-08-10,Billing,1,14
TKT00108,CUST0044,2023-04-15,Billing,0,
TKT00109,CUST0047,2022-12-05,Onboarding,0,
TKT00110,CUST0049,2022-06-03,Billing,1,1
TKT00111,CUST0049,2022-06-16,Billing,1,11
TKT00112,CUST0049,2022-04-04,Billing,1,7
